Timestamp,SrcIp,DestIp,L4Protocol,totalFlow
"2023-09-14T01:24:00Z","159.203.224.40","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","162.243.150.9","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","198.235.24.164","10.0.0.4",TCP,2
"2023-09-14T04:45:00Z","205.210.31.184","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","192.241.207.78","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","162.243.138.46","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","65.49.1.68","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","198.235.24.8","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","112.223.71.212","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","2.58.113.70","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","205.210.31.186","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","175.175.130.19","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","162.216.149.64","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","31.220.1.83","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","162.243.146.4","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","162.216.149.128","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","75.80.10.175","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","205.210.31.46","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","205.210.31.5","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","79.124.58.78","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","205.210.31.87","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","162.216.149.104","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","79.110.62.106","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","162.216.149.233","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","185.36.81.33","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","192.241.207.78","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","45.33.84.124","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","138.197.15.182","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","43.155.129.115","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","207.90.244.2","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","35.203.210.17","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","5.181.190.113","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","71.6.232.24","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","45.12.253.78","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","162.243.138.55","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","47.253.62.238","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","198.235.24.49","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","167.248.133.137","10.0.0.6",TCP,2
"2023-09-14T04:45:00Z","205.210.31.173","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","205.210.31.45","10.0.0.4",UDP,1
"2023-09-14T04:45:00Z","162.243.129.11","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","162.216.149.104","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","43.157.62.27","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","198.235.24.208","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","68.178.161.31","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","71.6.135.131","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","43.155.159.89","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","192.241.193.6","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","65.49.1.105","10.0.0.4",UDP,1
"2023-09-14T04:45:00Z","65.49.1.14","10.0.0.4",UDP,1
"2023-09-14T04:45:00Z","45.79.177.245","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","94.156.6.231","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","45.128.232.115","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","45.79.177.245","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","205.210.31.243","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","205.210.31.97","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","121.238.211.235","10.0.0.6",TCP,1
